run_name,hidden,aggregator,fanout_s,fanout_l,dropout,batch_size,epoch,train_loss,train_acc,val_loss,val_acc,norm_train_acc,norm_val_acc
hid64_aggmean_fan15-10_drop30_bs256,64,mean,15,10,0.3,256,15,2.0417,0.4532,2.2678,0.0565,0.4532,0.0565
hid64_aggmean_fan15-10_drop30_bs256,64,mean,15,10,0.3,256,16,2.0326,0.4549,2.344,0.0497,0.4549,0.0497
hid64_aggmean_fan15-10_drop30_bs256,64,mean,15,10,0.3,256,17,2.0326,0.4682,2.5514,0.0365,0.4682,0.0365
hid64_aggmean_fan15-10_drop30_bs256,64,mean,15,10,0.3,256,18,2.0273,0.4572,2.4128,0.0465,0.4572,0.0465
hid64_aggmean_fan15-10_drop30_bs256,64,mean,15,10,0.3,256,19,2.0193,0.4236,2.3093,0.0498,0.4236,0.0498
hid64_aggmean_fan15-10_drop30_bs256,64,mean,15,10,0.3,256,20,2.0126,0.4313,2.2599,0.0438,0.4313,0.0438
hid64_aggmean_fan15-10_drop30_bs256,64,mean,15,10,0.3,256,21,2.0051,0.4528,2.2958,0.0511,0.4528,0.0511
hid64_aggmean_fan15-10_drop30_bs256,64,mean,15,10,0.3,256,22,2.0053,0.4417,2.2743,0.0495,0.4417,0.0495
hid64_aggmean_fan15-10_drop30_bs256,64,mean,15,10,0.3,256,23,1.9934,0.4388,2.3936,0.045,0.4388,0.045
hid64_aggmean_fan15-10_drop30_bs256,64,mean,15,10,0.3,256,24,1.9955,0.3845,2.3756,0.0415,0.3845,0.0415
hid64_aggmean_fan15-10_drop30_bs256,64,mean,15,10,0.3,256,25,1.9929,0.3969,2.3727,0.0437,0.3969,0.0437
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,1,2.2152,0.3853,1.8684,0.5101,0.3853,0.5101
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,2,2.1863,0.3821,2.1101,0.0347,0.3821,0.0347
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,3,2.147,0.4526,2.1876,0.0345,0.4526,0.0345
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,4,2.1291,0.4175,2.1686,0.0396,0.4175,0.0396
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,5,2.1051,0.4762,2.2002,0.0418,0.4762,0.0418
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,6,2.0962,0.4562,2.2728,0.0381,0.4562,0.0381
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,7,2.0979,0.454,2.3332,0.0383,0.454,0.0383
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,8,2.093,0.4848,2.2624,0.0519,0.4848,0.0519
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,9,2.0782,0.4763,2.4118,0.0383,0.4763,0.0383
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,10,2.0867,0.4413,2.3609,0.0495,0.4413,0.0495
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,11,2.0669,0.4331,2.3078,0.0488,0.4331,0.0488
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,12,2.069,0.4367,2.4509,0.0369,0.4367,0.0369
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,13,2.0498,0.4491,2.3089,0.0501,0.4491,0.0501
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,14,2.0546,0.4581,2.2721,0.0585,0.4581,0.0585
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,15,2.0407,0.4384,2.429,0.0409,0.4384,0.0409
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,16,2.0441,0.3849,2.3601,0.0497,0.3849,0.0497
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,17,2.0294,0.4592,2.4344,0.0415,0.4592,0.0415
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,18,2.033,0.4463,2.3059,0.0457,0.4463,0.0457
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,19,2.0115,0.4444,2.3377,0.0432,0.4444,0.0432
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,20,2.0115,0.4088,2.374,0.0387,0.4088,0.0387
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,21,2.0265,0.4237,2.2772,0.0493,0.4237,0.0493
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,22,2.0092,0.4456,2.2806,0.0473,0.4456,0.0473
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,23,2.014,0.4225,2.3408,0.0435,0.4225,0.0435
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,24,1.9891,0.4402,2.3641,0.0453,0.4402,0.0453
hid64_aggmean_fan15-10_drop40_bs256,64,mean,15,10,0.4,256,25,2.0102,0.3769,2.3131,0.0482,0.3769,0.0482
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,1,2.1973,0.429,2.0669,0.0752,0.429,0.0752
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,2,2.165,0.4189,2.2512,0.0276,0.4189,0.0276
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,3,2.1254,0.4401,2.249,0.0372,0.4401,0.0372
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,4,2.1035,0.4708,2.1909,0.0427,0.4708,0.0427
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,5,2.0992,0.4765,2.4048,0.0374,0.4765,0.0374
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,6,2.0847,0.4832,2.35,0.0468,0.4832,0.0468
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,7,2.0811,0.4782,2.3895,0.0456,0.4782,0.0456
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,8,2.0725,0.4798,2.3281,0.0548,0.4798,0.0548
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,9,2.0642,0.4941,2.465,0.0589,0.4941,0.0589
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,10,2.0479,0.4827,2.4943,0.0414,0.4827,0.0414
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,11,2.0498,0.4612,2.4359,0.0428,0.4612,0.0428
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,12,2.0452,0.4661,2.2641,0.0561,0.4661,0.0561
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,13,2.0369,0.4434,2.3977,0.0486,0.4434,0.0486
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,14,2.0277,0.4389,2.4251,0.0488,0.4389,0.0488
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,15,2.0274,0.4291,2.2815,0.0587,0.4291,0.0587
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,16,2.0111,0.4364,2.365,0.0564,0.4364,0.0564
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,17,2.0161,0.4312,2.3228,0.0574,0.4312,0.0574
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,18,2.0041,0.4619,2.3953,0.0502,0.4619,0.0502
hid64_aggmean_fan25-15_drop20_bs256,64,mean,25,15,0.2,256,19,1.997,0.4173,2.3356,0.0549,0.4173,0.0549
